Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Credit Risk Analyst,(Perbankan & Layanan Finansial),PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,30+ hari yang lalu,,"Responsible for the monitoring, forecasting and early warning flagging of key indicators to ensure the overall credit risk and portfolio are...",,,,
Guest Service Agent25134020,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Genteng,5 hari yang lalu,,"When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937. At Sheraton,...",,,,
Operation Risk Management Lead,(Perbankan & Layanan Finansial),PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,20 hari yang lalu,,"The role focuses on maintaining and improving the Operational Risk Management (ORM) framework, including implementing strategies, policies, and...",,,,
Merchant Onboarding Experience Manager,(Call Center & Layanan Konsumen),PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,30+ hari yang lalu,,"Join our team and make a real impact! As the Merchant Onboarding Experience Manager, you will play a pivotal role in driving positive merchant...",,,,
Lead HVAC System Design Engineer,(Teknik),,Jakarta Raya,22 hari yang lalu,,"HVAC specialist, HVAC system design, HVAC Engineer, bachelor's degree, Senior HVAC, HVAC design engineering, HVAC Lead",,,,
Digital Product Owner,(Teknologi Informasi & Komunikasi),PT Asuransi Jiwa Manulife Indonesia (Dept PB Danamon),Jakarta Raya,21 hari yang lalu,,Digital product owner focus of everything of end users rely on our products daily with the resources to solve critical problems for the future of...,,,,
Sr. Brand Executive - Pet Food,(Pemasaran & Komunikasi),PT Nestle Indonesia,Jakarta Raya,7 hari yang lalu,,"As a Sr. Brand Executive - Pet Food, you will provide comprehensive support the execution of brand activities to Purina Petcare Business Unit,...",,,,
Instrument Engineer (Execution & Inspection),(Teknik),PT Asahimas Chemical,Cilegon,8 hari yang lalu,,"This role is pivotal in spearhead the evaluation, planning, and execution of maintenance activities for critical and non-critical equipment.",,,,
Export Sales Manager,(Penjualan),Asia Top,Jakarta Utara,19 hari yang lalu,,Have experienced minimum 3 years in the same position as Export Sales Manager.,,,,
Marketing Manager,(Pemasaran & Komunikasi),,Jakarta Raya,7 hari yang lalu,,Marketing Manager,,,,
HRGA General Manager - Japanese Speaker - Manufacture,(Sumber Daya Manusia & Perekrutan),PT Trust Recruit Indonesia,Cikarang Pusat,1 hari yang lalu,,Trust Recruit Indonesia is currently assisting one of our client in Manufacturing industry that looking for HRGA GM - Japanese Speaker (N2/N3),,,,
Marketing/Sales,(Penjualan),PT Padma Cahaya Mitra Teknologi,Cileungsi,20 hari yang lalu,,"Account Sales :
Implementing effective sales and marketing strategies to promote our products and services",,,,
Guest Services Agent25078929,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,"Process all guest check-ins, check-outs, room assignments, and room change/late check-out requests. Secure payment; activate/reissue room keys. Ens...",,,,
AVP - Relationship Manager - Multinational Corporates - Hybrid,(Perbankan & Layanan Finansial),Citibank,Jakarta Raya,13 hari yang lalu,,"Working at Citi is far more than just a job. A career with us means joining a team of more than 230,000 dedicated people from around the globe. At...",,,,
English Instructor,(Pendidikan & Pelatihan),Eye Level Bay Salim Palembang,Palembang,14 hari yang lalu,Rp 3.000.000 – Rp 3.500.000 per month,Eye Level Bay Salim Palembang bagian dari Eye Level Indonesia di bawah naungan Daekyo (perusahaan induk Eye Level) yang berpusat di Korea Selatan.,3000000.0,3500000.0,month,IDR
Web UI/UX Designer (Contract),(Desain & Arsitektur),"PT SMART,Tbk",Jakarta Raya,1 hari yang lalu,,A UI/UX Designer to support design and improve the user experience for our corporate website.,,,,
Product Manager - Food Experience Content Management,(Teknologi Informasi & Komunikasi),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,30+ hari yang lalu,,"As a Product Manager for Food Merchant Experience at Gojek, you will be at the forefront of crafting the product's vision, setting strategic...",,,,
Key Account Development (Keep & Grow),(Penjualan),PT ISS INDONESIA (Bintaro),Tangerang Selatan,1 hari yang lalu,,"Sales & Business Development, Account Management, CRM from facility services industry",,,,
Sales Engineer - Automotive Manufacturing (B-122335),(Penjualan),RGF HR Agent Indonesia,Cikarang Pusat,13 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month,Sales Engineer for an Automotive Manufacturing company in Central Cikarang,7000000.0,9000000.0,month,IDR
SAP BW/BPC (Semarang),(Teknologi Informasi & Komunikasi),PT Accenture,Semarang,30+ hari yang lalu,,"SAP professionals design, implement and deploy SAP solutions to achieve defined business goals. Maintain skills in SAP applications process design...",,,,
Automation Engineer,(Teknik),PT Vale Indonesia Tbk,Luwu Timur,11 hari yang lalu,,Automation Engineer is responsible for automation technical support who mastering the programming with PLC controllers and HMI - Factory Talk View,,,,
Market Development Executive - Cable (Marine/Maritime) (B-118138),(Penjualan),RGF HR Agent Indonesia,Jakarta Barat,14 hari yang lalu,Rp 9.000.000 – Rp 12.000.000 per month,Market Development Executive for Multinational Electrical company in West Jakarta,9000000.0,12000000.0,month,IDR
"Finance, Accounting, Tax Supervisor (Leasing & Multifinance)",(Akuntansi),PT JAC Consulting Indonesia,Jakarta Raya,4 hari yang lalu,Rp 9.000.000 – Rp 11.000.000 per month,FAT Supervisor with experience in funding and asset management,9000000.0,11000000.0,month,IDR
Translator Mandarin,(Administrasi & Dukungan Perkantoran),PT Mutiara Indah Anugrah,Jakarta Selatan,13 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month,Responsibilities: Arrange Documents Handle Client and workers Able to translate communication accurately and correctly Able to translate verbally...,10000000.0,15000000.0,month,IDR
Mandarin Translator (Jakarta),(Administrasi & Dukungan Perkantoran),PT Teknologi Internasional Nusantara,Jakarta Barat,15 hari yang lalu,,Willing to work from office and learn more to do administrative like manage data project from Collection team.,,,,
UX Writer (Mobility),(Pemasaran & Komunikasi),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,30+ hari yang lalu,,A Mobility UX Writer will spend their time solving friction for users across Indonesia and Singapore. Their scope will cover Gojek’s platform...,,,,
Research & Development Manager (Wood Coating) - Sidoarjo - WFO (ID: 682537)(,(Sains & Teknologi),PT. PERSOLKELLY Recruitment Indonesia,Sidoarjo,8 hari yang lalu,,"An opportunity to lead R&D in coatings, driving innovation and sustainability with global impact.",,,,
Leasing & Casual Leasing,(Real Estat & Properti),PT MBH Management,Bekasi,27 hari yang lalu,,"Grow your career with a leading property manager. Competitive salary, bonuses and benefits. Apply now.",,,,
Enterprise Group Senior Manager,(Penjualan),PT GOTO GOJEK TOKOPEDIA TBK,Jakarta Raya,20 hari yang lalu,,"If you’re looking for a place with dynamic, high analytical thinking and have passion to grow the industry through leveraging the digital...",,,,
Key Account Executive - Mandarin Speaking (Semarang),(Penjualan),ASIA PULP AND PAPER,Semarang,29 hari yang lalu,,"sales, key account, b2b",,,,
SAP SD (Sales & Distribution),(Teknologi Informasi & Komunikasi),PT Accenture,Subang,30+ hari yang lalu,,"We are seeking a highly skilled SAP Sales and Distribution (SD) Consultant with proven expertise in designing, configuring, and enhancing SAP SD...",,,,
Direct Sales,"(Manufaktur, Transportasi & Logistik)",PT Global Jet Cargo (J&T Cargo) - Surabaya,Surabaya,14 hari yang lalu,,"PT Global Jet Cargo (J&amp;T Cargo) - Surabaya sedang membuka lowongan untuk posisi Penuh waktu Direct Sales di Kejawaan Putih Tamba, Jawa Timur....",,,,
B2B Sales Officer - Industrial Products or Raw Materials,(Penjualan),PT Talenta Eksekutif Asia (Matcha Talent),Jakarta Raya,25 hari yang lalu,,"Form key partnerships, establishing company's first client base, and developing its internal sales operations.",,,,
Mandarin Translator (Contract Based),(Administrasi & Dukungan Perkantoran),PT Asahimas Flat Glass Tbk,Cikampek,21 hari yang lalu,Rp 8.800.000 – Rp 9.400.000 per month,Mandarin Translator (contract-based) plays a vital part in supporting effective communication between our local team & Mandarin-speaking stakeholders,8800000.0,9400000.0,month,IDR
Sales Strategy Manager,(Pemasaran & Komunikasi),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,30+ hari yang lalu,,The Sales Strategy Manager [Insights and Special Projects] serves as the critical analytical and project management hub for the sales organization....,,,,
Government Relation Manager,(Pemerintahan & Pertahanan),SOECHI GROUP,Jakarta Pusat,14 hari yang lalu,,"Developing, managing & maintaining strong relationships with relevant government agencies, regulators & maritime authorities",,,,
Personal Trainer,(Olahraga & Rekreasi),PT Welsome Nobasu Indonesia,Jakarta Selatan,6 hari yang lalu,,"Empower clients to achieve fitness goals by guiding clients in improving posture, flexibility, and wellness using special Core Balance Stretch method",,,,
Property Underwriter,(Asuransi & Dana Pensiun),PT. Sompo Insurance Indonesia,Jakarta Selatan,28 hari yang lalu,,This position is responsible to evaluate and underwrite property risks to ensure profitable growth and compliance with company standards.,,,,
Account Manager (Sidoarjo Office),(Penjualan),PT Netmarks Indonesia,Sidoarjo,29 hari yang lalu,,"Job Description: Build strong relationship with clients, partners, principals. Develop opportunities in promoting and selling IT solutions and...",,,,
Business Development (ERP Sales),(Teknologi Informasi & Komunikasi),PT IFS Solusi Integrasi,Jakarta Selatan,6 hari yang lalu,,"Manager BDV, Sales, ERP",,,,
Trade Ops Finance and Services Manager,(Hospitaliti & Pariwisata),Citibank,Jakarta Raya,14 hari yang lalu,,The Trade Ops Finance and Services Manager is an intermediate management level position responsible for leading and supervising a medium sized unit...,,,,
Wholesales Manager (Mom & Baby Products),(Penjualan),PT TNP Maternity and Baby Trading,Jakarta Utara,5 hari yang lalu,,"Looking for a Wholesale Manager to grow sales, expand outlets, and build lasting partnerships across mother & baby product wholesale channels.",,,,
IT Enterprise Planning Model Builder (Anaplan),(Teknologi Informasi & Komunikasi),,Jakarta Pusat,5 hari yang lalu,,"Create requirements, blueprints, solution designs, and testing protocols for the Anaplan application.",,,,
PROPERTY SALES SUPERVISOR,(Real Estat & Properti),PT Alam Sutera Realty Tbk,Banten,29 hari yang lalu,,"Manage sales staff, coach, counsel, train, and discipline sales, organize and distribute sales staff schedules",,,,
Business Operations Manager Lead - Flight,(Konsultasi & Strategi),PT Trinusa Travelindo,Jakarta Raya,12 hari yang lalu,,This role is critical in understanding our inventory strength & supplier portfolio to formulate a good inventory strategy for winning in the...,,,,
Digital Partnership Operational Lead,(Penjualan),"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,22 hari yang lalu,,"Lead overall digital partnership operational strategy and execution
Ensure end-to-end flow from scheduling to disbursement is efficient and...",,,,
Guest Services Agent25134223,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,5 hari yang lalu,,"Process all guest check-ins, check-outs, room assignments, and room change/late check-out requests. Secure payment; activate/reissue room keys....",,,,
Duty Manager25119605,(Hospitaliti & Pariwisata),Sheraton Bali Kuta Resort,Bangka Belitung,30+ hari yang lalu,,"• Brings issues concerning employee satisfaction to the attention of the department manager and Human Resources.
• Assists as needed in the...",,,,
Procurement/Purchasing Specialist Mandarin,"(Manufaktur, Transportasi & Logistik)",PT. NCS CONSULTANT INDONESIA,Jakarta Timur,27 hari yang lalu,,"Performing all procurement processes; sourcing, negotiating, supplier selecting, issuing purchase orders & reporting relating to operational needs,etc",,,,
Marketing Manager - Leasing (Heavy Equipment) (B-121974),(Penjualan),RGF HR Agent Indonesia,Jakarta Selatan,22 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month,Marketing Manager for a Leasing (Heavy Equipment) company in South Jakarta,15000000.0,20000000.0,month,IDR
Marketing Assistant Manager - Leasing (Heavy Equipment) (B-121966),(Penjualan),RGF HR Agent Indonesia,Jakarta Selatan,22 hari yang lalu,Rp 13.000.000 – Rp 15.000.000 per month,Marketing Assistant Manager for a Leasing (Heavy Equipment) company in South Jakarta,13000000.0,15000000.0,month,IDR
MEP Specialist,(Konstruksi),,Badung,19 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month,Exciting opportunity to shape MEP systems for Bali's premier property developer. Join our dynamic team!,5000000.0,6000000.0,month,IDR
Sr Specialist Procurement & Contract - LNG Regasification,"(Pertambangan, Sumber Daya Alam & Energi)",PT Amman Mineral Nusa Tenggara,Sumbawa Barat,21 hari yang lalu,,Procurement & Contract to support LNG Regasification Operations & Maintenance,,,,
Sales Support (Japanese Speaker),(Penjualan),PT JAC Consulting Indonesia,Jakarta Pusat,15 hari yang lalu,,"Company: Japanese industrial machinery
Location: Central Jakarta
Position: Sales Support
Employment: Permanent with 3 months' probation",,,,
Sales Support Intern,(Penjualan),PT Ninety Nine Dotco,Jakarta Raya,19 hari yang lalu,,"At 99 Group, we're on a mission to revolutionise the real estate industry by seamlessly integrating cutting-edge technology and innovation. If...",,,,
Staff Purchasing Jakarta - Mandarin,"(Manufaktur, Transportasi & Logistik)",PT Global Jet Express,Jakarta Utara,27 hari yang lalu,,"Source, compare, and evaluate potential vendors and suppliers.",,,,
ADMIN (MANDARIN SPEAKER) - FOR AKR SUBSIDIARY,(Administrasi & Dukungan Perkantoran),"PT AKR Corporindo, Tbk",Jakarta Selatan,8 hari yang lalu,,Administration (Mandarin Speaker),,,,
